"user_ptr_id"	"reputation"	"gold"	"silver"	"bronze"
"100006402"	"18"	"0"	"0"	"0"
"100022094"	"6354"	"4"	"12"	"50"
"100018705"	"76"	"0"	"3"	"4"
"100021176"	"213"	"0"	"1"	"5"
"100045508"	"505"	"0"	"1"	"5"
"100071633"	"1468"	"5"	"9"	"38"
"100012453"	"1067"	"0"	"0"	"5"
"100013104"	"52"	"0"	"0"	"6"
"100027859"	"2508"	"4"	"18"	"59"
"100033980"	"90"	"0"	"0"	"6"
"100020541"	"15"	"0"	"0"	"0"
"100020261"	"219"	"1"	"1"	"4"
"100013108"	"415"	"3"	"3"	"12"
"100005254"	"72"	"0"	"0"	"5"
"100092718"	"404"	"0"	"0"	"4"
"100019293"	"148"	"0"	"0"	"6"
"100000283"	"125"	"0"	"1"	"7"
"100036722"	"43"	"0"	"0"	"2"
"100083284"	"47"	"0"	"0"	"2"
"100000166"	"1065"	"1"	"1"	"4"
"100097706"	"267"	"0"	"0"	"5"
"100005162"	"300"	"2"	"4"	"8"
"100023538"	"1861"	"2"	"8"	"22"
"100007122"	"321"	"0"	"1"	"15"
"100006386"	"6886"	"4"	"12"	"36"
"100008087"	"166"	"3"	"3"	"4"
"100000330"	"1081"	"2"	"2"	"5"
"100002716"	"3954"	"0"	"9"	"40"
"100020080"	"10651"	"8"	"24"	"96"
"100009828"	"140"	"0"	"3"	"13"
"100041814"	"299"	"0"	"0"	"1"
"100066853"	"957"	"1"	"2"	"11"
"100005854"	"1732"	"0"	"8"	"35"
"100021112"	"30"	"0"	"0"	"4"
"100068257"	"1662"	"0"	"1"	"6"
"100014478"	"37"	"0"	"0"	"2"
"100023310"	"494"	"0"	"1"	"10"
"100089148"	"32"	"0"	"0"	"2"
"100015013"	"13"	"0"	"0"	"2"
"100004804"	"1125"	"2"	"6"	"20"
"100001057"	"1280"	"7"	"16"	"37"
"100007850"	"5736"	"26"	"56"	"82"
"100006638"	"189"	"0"	"1"	"6"
"100000970"	"99"	"1"	"3"	"8"
"100000257"	"395"	"1"	"1"	"9"
"100000769"	"41"	"0"	"0"	"2"
"100005441"	"81"	"1"	"2"	"6"
"100004586"	"5446"	"10"	"32"	"76"
"100005410"	"499"	"1"	"7"	"18"
"100008269"	"3127"	"8"	"18"	"27"
"100004081"	"5345"	"3"	"20"	"54"
"100001094"	"4700"	"4"	"13"	"39"
"100001358"	"590"	"3"	"8"	"19"
"100008612"	"1584"	"1"	"15"	"29"
"100001333"	"51"	"1"	"2"	"6"
"100000091"	"285"	"1"	"1"	"9"
"100005728"	"116"	"0"	"0"	"5"
"100005714"	"57"	"0"	"2"	"8"
"100017078"	"3"	"1"	"2"	"3"
"100000111"	"11"	"0"	"0"	"0"
"100060843"	"11"	"0"	"0"	"1"
"100003418"	"11"	"0"	"0"	"0"
"100004176"	"11"	"1"	"2"	"9"
"100010467"	"11"	"0"	"1"	"2"
"100004243"	"11"	"0"	"0"	"3"
"100004693"	"11"	"0"	"1"	"2"
"100004162"	"11"	"0"	"1"	"1"
"100012137"	"11"	"0"	"0"	"1"
"100081005"	"11"	"0"	"0"	"0"
"100019794"	"11"	"0"	"0"	"1"
"100001413"	"11"	"0"	"0"	"0"
"100021330"	"1619"	"0"	"1"	"8"
"100025468"	"8741"	"0"	"6"	"37"
"100023959"	"117"	"0"	"0"	"1"
"100016998"	"303"	"0"	"0"	"6"
"100021689"	"12"	"0"	"0"	"1"
"100091449"	"182"	"0"	"0"	"5"
"100085343"	"16"	"0"	"0"	"2"
"100006969"	"542"	"1"	"2"	"18"
"100000983"	"1994"	"7"	"16"	"40"
"100003760"	"31"	"0"	"2"	"7"
"100043405"	"375"	"0"	"0"	"9"
"100004747"	"299"	"0"	"1"	"9"
"100043090"	"35"	"1"	"1"	"3"
"100014993"	"413"	"0"	"0"	"8"
"100005693"	"591"	"2"	"5"	"27"
"100003077"	"797"	"0"	"2"	"7"
"100078293"	"41"	"0"	"0"	"2"
"100006115"	"1494"	"1"	"6"	"21"
"100008084"	"129"	"0"	"0"	"8"
"100097713"	"361"	"0"	"0"	"4"
"100008098"	"2460"	"3"	"12"	"39"
"100068264"	"247"	"0"	"0"	"4"
"100078168"	"132"	"0"	"0"	"4"
"100005906"	"241"	"0"	"0"	"11"
"100064704"	"15"	"0"	"0"	"1"
"100019918"	"3251"	"1"	"3"	"57"
"100031807"	"245"	"0"	"0"	"2"
"100011824"	"73"	"0"	"0"	"8"
